Partner,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kenya,271222075,196465069,347522676,573365497,430745344,520374633,442372404,653631512,375348785,461441784,568583714,635695507,1640826022,943453507,396920529
Kiribati,3789402,1332667,1342466,2411608,1392300,1149509,7347540,824672,3977797,17667015,4605948,6983607,3293815,7320835,1148626
Kosovo,0,0,0,0,0,0,0,5002266,11183045,15572116,20832234,14544129,16343893,19743318,18355903
Kuwait,1014658939,1507276177,1519286675,1974875551,2086910362,2484016406,2719345826,1951143424,2774766577,2749651553,2681906798,2597538635,3649177022,2740643491,3295385691
Kyrgyzstan,31124175,39055159,29440381,31140901,71250326,48651043,44287417,56761574,79407764,101878738,145493810,106251152,71725049,32003481,20012459
Lao People's Democratic Republic,4204568,4721426,5878436,9807849,6958897,5464940,18346685,20321593,12644576,26084818,33494345,24400348,28713310,24584007,30878093
Latvia,90811451,123739476,121101121,177537085,245468729,381391440,393968241,288594228,344952057,585962167,514791562,494564967,428187574,267111087,273002574
Lebanon,317444308,314085677,463985245,465688546,930689826,825888292,1463832577,1852147275,2009038480,1807311627,1039943000,1034263176,1267896689,1286047254,1170635891
Lesotho,2021905,5097676,5483683,4015033,4028604,7525706,1339723,16630440,11330245,13181171,16514237,571144,2449565,881897,2839262
Liberia,27693474,33313740,60914602,69320320,67840342,75769497,156687752,94745252,191351777,195207824,241089095,173207630,184502715,135815547,158025481
Libyan Arab Jamahiriya,18270411,225546,39202016,83841985,383744472,510834249,720871828,665507651,665533976,307238676,549022033,864473039,532031879,231336899,190267750
Liechtenstein,14511028,15943502,10831757,19716500,15835002,16183424,29259009,23482968,29267415,62346285,21972859,22055946,31102552,35475476,24575172
Lithuania,102819120,162319323,295103827,390027824,566639841,720302048,831259516,398538386,628120466,1141936078,756983833,854235543,681234694,528184140,463523628
Luxembourg,480141993,279107844,639851628,711383070,581322055,925549780,988035453,1292061259,1439673708,1585845119,1903143233,1848801276,1516227821,1394174730,1453055435
Macau; SAR of China,79037234,54585518,85516120,101575899,200225783,226447445,306742843,209196460,225189155,291499829,345460636,351203334,433391819,542389229,632050930
Macedonia,18632191,26126439,21234299,31556267,22426182,33561327,36114737,34837071,33332833,29456706,21117500,54778259,33850337,30678977,45921629
Madagascar,15399224,46251595,35648993,28205237,44737462,32129605,70754620,105868563,115994454,56283902,64275029,64007569,46811501,54553731,41974174
Malawi,30111737,16632130,21653944,28049237,45741929,51499475,44943925,40423565,37001180,56973282,63951198,54498745,50669581,37201602,46613125
Malaysia,10343653601,10914061711,10850176912,10460833167,12443999494,11680201598,12949454144,10403284106,14079484478,14264019831,12817723181,13015887589,13068986012,12278501039,11831899502
Maldives,4126316,6579641,9872865,9255550,17647304,19321264,20294509,17424044,28284498,44835389,30051856,28778952,28985734,35143208,30969447
Mali,11164423,31447402,42940934,32421928,43130545,31901355,30908863,36747987,37274320,55077612,59745089,49893003,38462373,72426079,73061846
Malta,210066466,202252866,181300727,193709217,162538078,207214338,253437906,208459569,457387915,752427011,390983065,563593854,917602024,490665964,292465016
Marshall Islands,28732933,28174812,18759966,75484350,15487320,22887016,25148907,77579432,91184680,143791762,142133251,65478036,94570567,53807652,283324468
Martinique,23735269,21686646,28094296,34959990,32425501,193908207,288848377,263426197,296799785,339595962,370668017,381786515,331415726,132669428,144639404
Mauritania,22866587,34880600,34403132,86135221,90146958,102657391,106603830,56280371,84343006,243310966,291593870,244685427,148823898,126279168,116252672
Mauritius,27451631,31977614,28437153,30860179,35584108,49793601,51280301,70031102,40027845,46369941,95986858,42095310,35525527,58435311,86962467
Mayotte,14569,0,270439,0,11724,243119,57814,1168097,6282489,4572023,11610143,8520110,12087472,5697333,2829427
Mexico,97470271485,97411793347,1.10731E+11,1.20248E+11,1.33722E+11,1.35918E+11,1.5122E+11,1.28892E+11,1.63665E+11,1.98289E+11,2.15875E+11,2.25954E+11,2.41007E+11,2.36204E+11,2.29702E+11
Micronesia (Federated States of),27215103,23610237,24604539,25349268,29584985,37824810,54502889,51947959,42389761,44072040,51491652,41566161,41523205,40032614,42965269
Moldova; Republic of,30659918,25124869,39463829,40069837,30093862,52668339,66237298,26644083,37813517,39569462,38267976,45602639,35188566,16163682,14996342
Monaco,11434372,50296685,18163831,16776668,33485803,42757654,62734955,17968911,49192767,20664012,24306080,465907393,127638099,71128048,69242270
Mongolia,66273120,20684897,28127594,21879286,23058259,26032828,57248374,40514385,115518352,315176816,664955251,279573362,167478862,69177420,55383672
Montenegro,0,0,0,0,0,45306063,53185501,34787868,14554803,17673009,12397402,21683955,18179413,11133957,16711327
Montserrat,5135665,7944685,6057004,4848606,14377481,4774256,8564674,5883151,4746579,6903084,8566354,8616652,9181522,6640011,9485273
Morocco,565429661,468499361,498307570,480792527,837929033,1294157002,1435863486,1630259886,1947613644,2823307066,2170396557,2483726772,2101654296,1624802519,1932525686
Mozambique,94613571,62076734,76450499,62825299,64369218,114979532,213387796,189612914,224019682,459242488,351608971,303016499,375163570,264203995,149440989
Namibia,57776625,27997340,74513300,112249178,126928878,127834398,280324325,202339839,110184585,136564152,184614633,235244409,342745211,127617698,212949766
Nauru,2873655,1865039,726889,1624750,3782469,8140371,11240397,3687213,2492127,499196,2208920,758585,812299,1733650,494811
Nepal,19973542,16303724,25019031,24704668,16641805,28966464,28543659,31006805,28269192,40354262,37013899,32513730,36334623,36414272,40641922
Netherlands,18310700887,20695009298,24139701019,26467744578,30959583096,32836958949,39719476892,32241517656,34740302131,42227119015,40618286512,42577045423,43141223376,40210651302,39690153606
